business,name,per_unit_value,unit,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
squarefood&beverageltd.,Radhuni Fish Curry Masala-20gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,10,  12 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Product Type: Radhuni Fish Curry Masala</li>
<li>Brand: Square</li>
<li>Weight: 20 gm</li>
<li>This products used as a complete spice for all kinds of meat cooking.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Fish Curry Masala-100gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,44,  55 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Product Type: Radhuni Fish Curry Masala</li>
<li>Brand: Square</li>
<li>Weight: 20 gm</li>
<li>This products used as a complete spice for all kinds of meat cooking.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Meat Curry Masala-20gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,13,  15 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Product Type: Radhuni Meat Curry Masala</li>
<li>Brand: Square</li>
<li>Weight: 20 gm</li>
<li>This products used as a complete spice for all kinds of meat cooking.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Meat Curry Masala-100gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,58,  65 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"""<ul>
<li>Product Type: Radhuni Meat Curry Masala</li>
<li>Brand: Square</li>
<li>Weight: 100 gm</li>
<li>This products used as a complete spice for all kinds of meat cooking.</li>
</ul>""",,,,,,,
squarefood&beverageltd.,Radhuni Beef Curry Masala-25gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,15,  18 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"""<ul>
<li>Product Type: Radhuni beef Curry Masala</li>
<li>Brand: Square</li>
<li>Weight: 25 gm</li>
<li>This products used as a complete spice for all kinds of meat cooking.</li>
</ul>""",,,,,,,
squarefood&beverageltd.,Radhuni Beef Curry Masala-100gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,62,  70 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"""<ul>
<li>Product Type: Radhuni beef Curry Masala</li>
<li>Brand: Square</li>
<li>Weight: 100gm</li>
<li>This products used as a complete spice for all kinds of meat cooking.</li>
</ul>""",,,,,,,
squarefood&beverageltd.,Radhuni Mejbani Beef Masala -68gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,59,  70 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"""<ul>
<li>Product Type:Radhuni Mejbani Beef Masala </li>
<li>Brand: Square</li>
<li>Weight: 68gm</li>
<li>This products used as a complete spice for all kinds of meat cooking.</li>
</ul>""",,,,,,,
squarefood&beverageltd.,Radhuni Kala Bhuna Masala-80gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,59,  70 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"""<ul>
<li>Product Type:Radhuni Chicken Masala- </li>
<li>Brand: Square</li>
<li>Weight: 20gm</li>
<li>This products used as a complete spice for all kinds of meat cooking.</li>
</ul>""",,,,,,,
squarefood&beverageltd.,Radhuni Chicken Masala-20gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,13,  15 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"""<ul>
<li>Product Type:Radhuni Chicken Masala </li>
<li>Brand: Square</li>
<li>Weight: 20gm</li>
<li>This products used as a complete spice for all kinds of meat cooking.</li>
</ul>""",,,,,,,
squarefood&beverageltd.,Radhuni Chicken Masala-100gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,55,  65 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"""<ul>
<li>Product Type:Radhuni Chicken Masala-</li>
<li>Brand: Square</li>
<li>Weight: 100gm</li>
<li>This products used as a complete spice for all kinds of meat cooking.</li>
</ul>""",,,,,,,
