,name,unit,per_unit_value,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
sevendaysnotes,Pocket Series Gray Notebook,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,62,75,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Pocket Series Black & White Notebook 2-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,125,150,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Pocket Series Black & Kraft Notebook 2-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,125,150,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Pocket Series Black & Gray Notebook 2-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,125,150,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Pocket Series White & Kraft Notebook 2-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,125,150,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Pocket Series White & Gray Notebook 2-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,125,150,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Pocket Series Kraft & Gray Notebook 2-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,125,150,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Pocket Series Black White & Gray Notebook 3-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,187,225,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Pocket Series Black White & Kraft Notebook 3-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,187,225,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Pocket Series White Gray & Kraft Notebook 3-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,187,225,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Pocket Series Black Gray & Kraft Notebook 3-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,187,225,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Pocket Series Black White Kraft & Grey Notebook 4-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,199,240,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Vagabond Kraft Notebook,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,125,150,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
