business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,Vendor_Price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
gqenterprise,Krispy Motor Vaja - 15 gm,Piece,1,krispy-curl,groceries,snacks-and-instant-food,chips-and-pretzels,4,5,0,,,,,,5,,,100,1,,active,"<ul>
  <li>Product Types:Motor Vaja</li>
  <li>Weight:15gm</li>
  <li>Fresh Green Peas and Imported Spices,</li>
  <li>Crispy fried peas, with tangy flavor</li>
  <li>Popular as a snack</li>
</ul>",,,,,,
gqenterprise,Krispy Fried Mung Dal - 10 gm,Piece,1,krispy-curl,groceries,snacks-and-instant-food,chips-and-pretzels,4,5,0,,,,,,5,,,100,1,,active,"<ul>
  <li>Product Types:Krispy Fried Mung Dal</li>
  <li>Weight:10gm</li>
  <li>Imported Raw Material sand Spices</li>
  <li>Popular among the students for tiffin and tea time snack</li>
  <li>Very tasty and yummy</li>
</ul>",,,,,,
gqenterprise,Minar Lachcha Semai - 200 gm ,Piece,1,un-categorized,groceries,snacks-and-instant-food,chips-and-pretzels,29,35,0,,,,,,5,,,100,1,,active,"<ul>
  <li>Minar Lachcha Semai - 200gm.</li>
  <li>Brand: Minar.</li>
  <li>Product Type: Semai.</li>
  <li>Net weight: 200gm.</li>
  <li>Fresh and pure product.</li>
  <li>Ingredients: Wheat Flour, Corn Starch, Edible Palm Oil, Vanaspati1</li>
  <li>Manufacturer: GQ Foods Ltd.</li>
  <li>Healthy, Tasty and Best Quality Lachcha Semai.</li>
</ul>",,,,,,
gqenterprise,GQ Aromatic Chini Gura rice - 1 kg,kg,1,gq-enterprise,groceries,snacks-and-instant-food,chips-and-pretzels,105,130,0,,,,,,5,,,100,1,,active,"<ul>
  <li>GQ Aromatic Chinigura Rice – 1kg.</li>
  <li>Product Type: Chinigura Rice.</li>
  <li>Net Weight: 1kg</li>
  <li>Premium Quality &ldquo;Aromatic Chinigura Rice&rdquo;.</li>
  <li>&quot;GQ Chinigura Rice&quot; is 100% Guaranteed Quality.</li>
  <li>With the assurance of Best Quality, this fragrant rice is incomparable in taste for Polao, Biriyani, Khichuri &amp; Payesh.</li>
</ul>",,,,,,
gqenterprise,GQ Dal Muth - 30gm,Piece,1,gq-enterprise,groceries,snacks-and-instant-food,chips-and-pretzels,8,10,0,,,,,,5,,,100,1,,active,"<ul>
  <li>GQ Dalmuth - 30gm.</li>
  <li>Product Type: Aluchur.</li>
  <li>Net Weight: 30gm.</li>
  <li>Premium Quality.</li>
  <li>Very Crispy and Tasty.</li>
</ul>",,,,,,
gqenterprise,GQ Aluchur - 30gm,Piece,1,gq-enterprise,groceries,snacks-and-instant-food,chips-and-pretzels,12,15,0,,,,,,5,,,100,1,,active,"<ul>
  <li>GQ Aluchur - 30gm.</li>
  <li>Product Type: Aluchur.</li>
  <li>Net Weight: 30gm.</li>
  <li>Premium Quality.</li>
  <li>Very Crispy and Tasty.</li>
</ul>",,,,,,
gqenterprise,GQ Spicy Chira Badam - 20 gm,Piece,1,gq-enterprise,groceries,snacks-and-instant-food,chips-and-pretzels,4,5,0,,,,,,5,,,100,1,,active,"<p data-reactid="".1slgiarc35w.7.2.0.0.0.0.0.1.0.0.1.4.$line-0"">&quot;GQ Spicy Chira Badam</p>
<p data-reactid="".1slgiarc35w.7.2.0.0.0.0.0.1.0.0.1.4.$line-1"">Product Type: Spicy Chira</p>
<p data-reactid="".1slgiarc35w.7.2.0.0.0.0.0.1.0.0.1.4.$line-2"">Net Weight: 20gm</p>
<p data-reactid="".1slgiarc35w.7.2.0.0.0.0.0.1.0.0.1.4.$line-3"">Premium Quality</p>
<p data-reactid="".1slgiarc35w.7.2.0.0.0.0.0.1.0.0.1.4.$line-4"">Very Crispy and Tasty.&quot;</p>",,,,,,
gqenterprise,Elephant King Jumbo violet- 10 pcs coils,Box,1,elephant-king,groceries,homeandcleaning,pest-control,39,50,0,,,,,,5,,,100,1,,active,"<ul>
  <li>Elephant King +, Elephant King Jumbo &amp; Super Action BoosterMosquito Coils areformulated with imported, government approved effective insecticide d-trans allethrin.</li>
  <li>One coil keeps you mosquito free for whole night</li>
  <li>Different color and fragrance to give comfort.</li>
  <li>Highly effective against Chikungunya and Dengue.</li>
  <li>Popular in higher-middle and middle class, city and rural areas.</li>
  <li>It gives you and your family continuous protection against mosquito.</li>
  <li>Mosquito Coils can easily be separated.</li>
  <li data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.14e6lSuTlSuTEg"">10 Coils per packet.</li>
</ul>",,,,,,
gqenterprise,Super Action Mosquito Coil- 10 pcs coils,Box,1,un-categorized,groceries,homeandcleaning,pest-control,23,30,0,,,,,,5,,,100,1,,active,"<ul>
  <li>Super Action Booster Mosquito Coils are formulated with imported government approved effective insecticide d-trans allethrin.</li>
  <li>Brand: Elephant King</li>
  <li>Product Type: Mosquito coil</li>
  <li>Safe and hazard free and ensures 8hours burning time.</li>
  <li>Each Packet Contains 10 pieces.</li>
  <li>Different color and fragrance to give comfort.</li>
  <li>Highly effective against Chikungunya and Dengue.</li>
  <li data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.2f0f56Js56Jsjm"">Popular in higher-middle and middle class, city and rural areas.</li>
</ul>",,,,,,
gqenterprise,Elephant King Plus Mosquito Coil- 10 pcs coils,Box,1,elephant-king,groceries,homeandcleaning,pest-control,19,25,0,,,,,,5,,,100,1,,active,"<ul>
  <li>Brand: Elephant king.</li>
  <li>Repels mosquitoes.</li>
  <li>12 hours continuous burning GQ.</li>
  <li>5 pair or 10 pcs per box.</li>
  <li>High quality product.</li>
</ul>",,,,,,
